Class,TFIDF+LogReg,BiLSTM,DistilBERT
figurative,0.003872216844143272,0.005836575875486381,0.0
irony,0.7994667682346219,0.8034253092293054,0.8
regular,0.9865229110512129,0.9994617868675996,1.0
sarcasm,0.8033007100364613,0.8052197274995202,0.81
