Model,Micro_F1,Weighted_F1,Cohen_Kappa,MCC
TFIDF+LogReg,0.7422096317280453,0.6429958424982968,0.6550717607452547,0.7003658653361922
BiLSTM,0.7478753541076487,0.6479797730072566,0.6626583666955194,0.7088771631946198
